enter_abtest_date,active_date,abcode,lcx,week_day,control_active0,control_activex,retention_rate
20260509,20260515,28907,6,5,8459,460,0.0544
20260509,20260516,28907,7,6,8459,448,0.053
20260509,20260517,28907,8,7,8459,449,0.0531
20260509,20260518,28907,9,1,8459,397,0.0469
20260510,20260511,28907,1,1,10745,1474,0.1372
20260510,20260512,28907,2,2,10745,770,0.0717
20260510,20260513,28907,3,3,10745,596,0.0555
20260510,20260514,28907,4,4,10745,583,0.0543
20260510,20260515,28907,5,5,10745,525,0.0489
20260510,20260516,28907,6,6,10745,555,0.0517
20260510,20260517,28907,7,7,10745,601,0.0559
20260510,20260518,28907,8,1,10745,547,0.0509
20260511,20260512,28907,1,2,10657,1190,0.1117
20260511,20260513,28907,2,3,10657,741,0.0695
20260511,20260514,28907,3,4,10657,649,0.0609
20260511,20260515,28907,4,5,10657,618,0.058
20260511,20260516,28907,5,6,10657,535,0.0502
20260511,20260517,28907,6,7,10657,563,0.0528
20260511,20260518,28907,7,1,10657,573,0.0538
